train/n_updates,rollout/ep_len_mean,train/learning_rate,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/ent_coef,train/critic_loss,time/fps,train/ent_coef_loss,time/episodes,train/actor_loss
495769,917.85,0.0003,4953.4216828300005,32761,495870,0.019432829692959785,41.72592544555664,15,-5.281003952026367,1800,-419.60845947265625
505490,920.43,0.0003,4969.17000082,32886,505591,0.01958318054676056,65.2464828491211,15,-0.28011780977249146,1810,-422.654052734375
514900,916.08,0.0003,4938.40092852,33007,515001,0.02056243270635605,60.78612518310547,15,-3.827448606491089,1820,-418.5676574707031
524743,931.94,0.0003,5038.21282438,33135,524844,0.018766945227980614,49.547630310058594,15,-5.016056060791016,1830,-423.99688720703125
534743,931.94,0.0003,5063.7262533,33265,534844,0.020115017890930176,37.07080078125,16,9.3020658493042,1840,-433.772705078125
543991,931.69,0.0003,5077.75329315,33384,544092,0.019041968509554863,30.469772338867188,16,-7.144438743591309,1850,-443.268310546875
553376,931.65,0.0003,5093.442298669999,33506,553477,0.01982833445072174,53.965824127197266,16,4.520356178283691,1860,-437.87530517578125
563376,934.31,0.0003,5115.2030129899995,33635,563477,0.018782727420330048,50.98820877075195,16,2.9838387966156006,1870,-450.3050537109375
573037,942.95,0.0003,5163.12649362,33757,573138,0.01881556026637554,63.22328186035156,16,3.3651223182678223,1880,-442.48175048828125
581988,942.47,0.0003,5170.881002510001,33873,582089,0.019373908638954163,76.72781372070312,17,-8.615384101867676,1890,-438.8166198730469
591328,955.59,0.0003,5253.5860051,33995,591429,0.01765214093029499,37.22455596923828,17,-1.4124538898468018,1900,-455.68328857421875
601328,958.38,0.0003,5285.04539317,34125,601429,0.01893814094364643,44.80073165893555,17,1.4487336874008179,1910,-456.41204833984375
610744,958.44,0.0003,5315.71983342,34248,610845,0.017480913549661636,40.84882354736328,17,4.514063358306885,1920,-450.0848388671875
619913,951.7,0.0003,5284.64809478,34368,620014,0.016744643449783325,48.09441375732422,18,5.89125394821167,1930,-445.2571105957031
629367,946.24,0.0003,5254.04499704,34492,629468,0.018040074035525322,33.901939392089844,18,-2.2427070140838623,1940,-459.54107666015625
638950,949.59,0.0003,5282.488683400001,34614,639051,0.016963105648756027,82.19256591796875,18,7.22519588470459,1950,-453.0737609863281
648950,955.74,0.0003,5312.84218096,34742,649051,0.0170967448502779,28.107715606689453,18,1.5096513032913208,1960,-457.5757751464844
657713,943.37,0.0003,5245.96423532,34856,657814,0.01719740405678749,32.64511489868164,18,-1.4176087379455566,1970,-461.8197021484375
667430,943.93,0.0003,5262.129307519999,34982,667531,0.016057007014751434,42.47223663330078,19,-2.0423378944396973,1980,-468.670166015625
676649,946.61,0.0003,5282.409253209999,35106,676750,0.016692401841282845,30.0394287109375,19,-8.215730667114258,1990,-477.98736572265625
686649,953.21,0.0003,5319.20166343,35240,686750,0.01591300219297409,30.446983337402344,19,-8.972317695617676,2000,-468.12628173828125
695517,941.89,0.0003,5254.817318079999,35358,695618,0.016605038195848465,36.29668426513672,19,1.2944600582122803,2010,-471.7043151855469
705517,947.73,0.0003,5287.909310959999,35489,705618,0.017628546804189682,42.980560302734375,19,2.782717704772949,2020,-471.69219970703125
715517,956.04,0.0003,5345.1560184499995,35625,715618,0.017542295157909393,28.982215881347656,20,-6.180239200592041,2030,-483.0552978515625
725517,961.5,0.0003,5386.69073875,35763,725618,0.016787054017186165,43.40925598144531,20,2.752737045288086,2040,-465.85528564453125
735517,965.67,0.0003,5423.92115239,35895,735618,0.01644958183169365,25.757728576660156,20,-5.806660175323486,2050,-490.7785949707031
745517,965.67,0.0003,5441.03521305,36030,745618,0.01556139811873436,44.85697937011719,20,6.704107284545898,2060,-477.642578125
755517,978.04,0.0003,5516.540924700001,36159,755618,0.015059289522469044,30.768779754638672,20,-5.276602268218994,2070,-476.6002502441406
764275,968.45,0.0003,5471.242199830001,36272,764376,0.016426796093583107,36.603660583496094,21,-2.029351234436035,2080,-476.5753479003906
773157,965.08,0.0003,5457.286961389999,36388,773258,0.016473907977342606,27.319381713867188,21,-9.84880256652832,2090,-488.37750244140625
783157,965.08,0.0003,5473.460725989999,36519,783258,0.015620389953255653,25.535167694091797,21,-4.832098484039307,2100,-480.684326171875
