train/learning_rate,rollout/ep_rew_mean,time/time_elapsed,train/critic_loss,time/fps,time/total_timesteps,train/n_updates,train/actor_loss,rollout/ep_len_mean,time/episodes
0.001,83.34807432000001,3464,0.9012705087661743,72,249912,249811,-39.519996643066406,18.05,13980
0.001,83.20108203000001,3467,1.1924737691879272,72,250089,249988,-37.86700439453125,18.0,13990
0.001,83.13400699,3469,0.7261984348297119,72,250263,250162,-41.73816680908203,17.98,14000
0.001,83.11916361,3472,1.1883599758148193,72,250444,250343,-41.9913330078125,17.98,14010
0.001,82.92151326999999,3474,0.33830007910728455,72,250617,250516,-41.6164436340332,17.91,14020
0.001,82.92354101000001,3476,1.6701236963272095,72,250794,250693,-40.21803283691406,17.9,14030
0.001,82.47004913999999,3479,0.9301022887229919,72,250967,250866,-42.65150833129883,17.74,14040
0.001,82.16912766,3481,0.6958470940589905,72,251140,251039,-40.99530029296875,17.64,14050
0.001,82.16647549,3483,0.5906610488891602,72,251317,251216,-38.866275787353516,17.64,14060
0.001,82.36892,3486,1.3818031549453735,72,251502,251401,-39.21733093261719,17.71,14070
0.001,82.38011245,3489,0.8901293873786926,72,251684,251583,-42.978675842285156,17.72,14080
0.001,82.54582826999999,3491,0.8296092748641968,72,251867,251766,-38.38029479980469,17.78,14090
0.001,82.80335596,3494,0.6163720488548279,72,252050,251949,-39.60030746459961,17.87,14100
0.001,82.66808575,3496,1.1000782251358032,72,252227,252126,-40.03439712524414,17.83,14110
0.001,82.75554343,3499,0.38479503989219666,72,252403,252302,-40.84471893310547,17.86,14120
0.001,82.87711514,3501,0.7213592529296875,72,252585,252484,-40.02586364746094,17.91,14130
0.001,82.99392722,3504,0.37836408615112305,72,252762,252661,-41.14315414428711,17.95,14140
0.001,83.16651649999999,3506,0.9723259210586548,72,252941,252840,-38.35565185546875,18.01,14150
0.001,83.28597827,3509,0.4679957628250122,72,253122,253021,-37.473289489746094,18.05,14160
0.001,83.03702483,3511,0.47279447317123413,72,253298,253197,-38.533592224121094,17.96,14170
0.001,83.01375445,3513,0.7648346424102783,72,253479,253378,-41.40586471557617,17.95,14180
0.001,82.97368984,3516,0.628192663192749,72,253660,253559,-37.95875549316406,17.93,14190
0.001,82.88826733,3518,0.9758298397064209,72,253840,253739,-41.26419448852539,17.9,14200
0.001,82.81586677000001,3521,0.7288283705711365,72,254014,253913,-41.13372802734375,17.87,14210
0.001,83.02238048999997,3523,0.6224503517150879,72,254197,254096,-42.29889678955078,17.94,14220
0.001,83.10224498,3526,0.8109526634216309,72,254381,254280,-41.52301025390625,17.96,14230
0.001,83.16510721000003,3528,0.4491034746170044,72,254560,254459,-40.137672424316406,17.98,14240
0.001,83.08156755,3531,1.1315582990646362,72,254736,254635,-40.816646575927734,17.95,14250
0.001,82.85975336,3533,0.34722235798835754,72,254909,254808,-40.53409194946289,17.87,14260
