time/time_elapsed,train/n_updates,time/fps,time/episodes,rollout/ep_len_mean,train/learning_rate,rollout/ep_rew_mean,train/critic_loss,time/total_timesteps,train/actor_loss
3621,261561,72,7640,34.35,0.001,161.30954186,0.3543698489665985,261662,-68.87385559082031
3626,261907,72,7650,34.39,0.001,161.54445826,0.37141647934913635,262008,-75.57960510253906
3631,262249,72,7660,34.36,0.001,161.40621034000003,0.31289947032928467,262350,-74.12359619140625
3635,262592,72,7670,34.35,0.001,161.39051861000002,0.486571729183197,262693,-73.82415771484375
3640,262934,72,7680,34.34,0.001,161.30584483,0.19272668659687042,263035,-74.44346618652344
3644,263275,72,7690,34.3,0.001,161.09445208999998,0.17733535170555115,263376,-71.55674743652344
3649,263618,72,7700,34.29,0.001,161.04227844000002,1.0787203311920166,263719,-70.43677520751953
3655,263961,72,7710,34.31,0.001,161.10834712999997,0.18800872564315796,264062,-74.17147827148438
3660,264301,72,7720,34.28,0.001,160.92818762,0.3821706771850586,264402,-70.7300033569336
3664,264644,72,7730,34.28,0.001,160.89711445,0.21948003768920898,264745,-72.00984954833984
3669,264989,72,7740,34.28,0.001,160.8663317,0.3735487163066864,265090,-74.29071044921875
3674,265334,72,7750,34.27,0.001,160.80647846000002,0.18091344833374023,265435,-73.85891723632812
3679,265679,72,7760,34.3,0.001,161.01357281999998,0.38945531845092773,265780,-71.65592193603516
3684,266021,72,7770,34.29,0.001,160.91547552,0.16282574832439423,266122,-72.72734069824219
3688,266365,72,7780,34.31,0.001,161.03761545,0.21086999773979187,266466,-70.3364028930664
3693,266709,72,7790,34.34,0.001,161.20326627,0.21857325732707977,266810,-69.37294006347656
3698,267052,72,7800,34.34,0.001,161.16769994,0.5861712694168091,267153,-71.36409759521484
3703,267396,72,7810,34.35,0.001,161.24267508,0.28157901763916016,267497,-71.96122741699219
3707,267737,72,7820,34.36,0.001,161.26180898,0.3139357268810272,267838,-72.86670684814453
3712,268082,72,7830,34.38,0.001,161.39788589,0.2797984480857849,268183,-70.4215087890625
3717,268425,72,7840,34.36,0.001,161.32785711999998,0.1890166699886322,268526,-72.50995635986328
3721,268767,72,7850,34.33,0.001,161.11175584,0.5563715696334839,268868,-73.48097229003906
3726,269114,72,7860,34.35,0.001,161.21152753,0.2844611406326294,269215,-74.71197509765625
3731,269459,72,7870,34.38,0.001,161.39462678,0.18433929979801178,269560,-72.37872314453125
3736,269804,72,7880,34.39,0.001,161.39974662,0.24265851080417633,269905,-73.52944946289062
3741,270148,72,7890,34.39,0.001,161.42237430999998,0.20254966616630554,270249,-73.2525634765625
3745,270494,72,7900,34.42,0.001,161.66213172,0.284334659576416,270595,-70.05571746826172
3750,270839,72,7910,34.43,0.001,161.77071062999997,0.21841803193092346,270940,-70.400146484375
3755,271184,72,7920,34.47,0.001,161.98195877,0.32615575194358826,271285,-63.797508239746094
3760,271527,72,7930,34.45,0.001,161.86642174,0.31298837065696716,271628,-70.99913787841797
3764,271871,72,7940,34.46,0.001,161.83163351000002,0.4098438620567322,271972,-71.52665710449219
3769,272213,72,7950,34.46,0.001,161.82214704,0.30524197220802307,272314,-71.64436340332031
3774,272557,72,7960,34.43,0.001,161.66886782,0.208222895860672,272658,-74.64570617675781
3779,272899,72,7970,34.4,0.001,161.51706914000002,0.23295670747756958,273000,-72.64175415039062
3784,273242,72,7980,34.38,0.001,161.50700336000003,0.20143958926200867,273343,-67.73971557617188
3788,273586,72,7990,34.38,0.001,161.40751138,0.15729719400405884,273687,-73.8952407836914
3793,273932,72,8000,34.38,0.001,161.32877852,0.49918100237846375,274033,-71.31912231445312
3798,274277,72,8010,34.38,0.001,161.2955729,0.3246624171733856,274378,-71.53146362304688
3803,274620,72,8020,34.36,0.001,161.21752727999998,0.250971257686615,274721,-72.87966918945312
3807,274964,72,8030,34.37,0.001,161.31558238000002,0.2890087366104126,275065,-71.2769775390625
3812,275308,72,8040,34.37,0.001,161.35633399999998,0.3021071255207062,275409,-72.50311279296875
3817,275649,72,8050,34.36,0.001,161.32213155000002,0.20980045199394226,275750,-69.64283752441406
3821,275990,72,8060,34.33,0.001,161.06963223,0.2556283473968506,276091,-72.99037170410156
3826,276333,72,8070,34.34,0.001,161.17142292999998,0.32473376393318176,276434,-70.4202651977539
3831,276675,72,8080,34.33,0.001,161.03880682999997,0.143193319439888,276776,-68.87191772460938
3836,277021,72,8090,34.35,0.001,161.22568286,0.1863311231136322,277122,-67.91244506835938
3841,277366,72,8100,34.34,0.001,161.16648475,0.14865922927856445,277467,-66.63398742675781
3846,277709,72,8110,34.32,0.001,161.0271681,0.14525102078914642,277810,-73.35812377929688
3851,278053,72,8120,34.33,0.001,161.04241894,0.27033233642578125,278154,-69.66014099121094
3855,278399,72,8130,34.35,0.001,161.04617997000003,0.1854439377784729,278500,-73.66452026367188
3860,278742,72,8140,34.34,0.001,161.03574857,0.2879803478717804,278843,-71.97213745117188
3865,279087,72,8150,34.38,0.001,161.26057334,0.1562206745147705,279188,-72.67884063720703
3870,279429,72,8160,34.39,0.001,161.42790939,0.2877284288406372,279530,-74.49784088134766
3875,279772,72,8170,34.39,0.001,161.33377514,0.2466176152229309,279873,-70.8581771850586
3880,280115,72,8180,34.4,0.001,161.42566703,0.2754477262496948,280216,-72.60269165039062
3885,280459,72,8190,34.38,0.001,161.27221484,0.23231281340122223,280560,-71.88406372070312
3889,280800,72,8200,34.34,0.001,161.03782988,0.22554323077201843,280901,-70.35298919677734
3894,281148,72,8210,34.39,0.001,161.26576148,0.20336368680000305,281249,-73.42617797851562
3899,281495,72,8220,34.42,0.001,161.46638401,0.24222233891487122,281596,-72.86481475830078
3904,281838,72,8230,34.39,0.001,161.34243876,0.25397342443466187,281939,-71.21110534667969
3909,282183,72,8240,34.41,0.001,161.42288439,0.27688148617744446,282284,-69.9975357055664
3914,282526,72,8250,34.39,0.001,161.34105701000001,0.3399280905723572,282627,-71.90614318847656
3919,282866,72,8260,34.37,0.001,161.18758569,0.14530350267887115,282967,-73.31050109863281
3924,283207,72,8270,34.35,0.001,161.10497116,0.1768217384815216,283308,-72.13250732421875
3929,283552,72,8280,34.37,0.001,161.19745588,0.34734606742858887,283653,-69.60494995117188
3933,283894,72,8290,34.35,0.001,161.15638449,0.22857263684272766,283995,-75.39759063720703
3938,284239,72,8300,34.39,0.001,161.40651572999997,0.13927465677261353,284340,-70.53639221191406
3943,284579,72,8310,34.31,0.001,161.01116039000001,0.2155846506357193,284680,-73.73136901855469
3947,284925,72,8320,34.3,0.001,160.97730285000003,0.2779303789138794,285026,-73.5706787109375
3952,285268,72,8330,34.3,0.001,160.99919398999998,0.2733283042907715,285369,-71.85745239257812
3957,285613,72,8340,34.3,0.001,160.98664430000002,0.23361146450042725,285714,-77.62442016601562
3962,285957,72,8350,34.31,0.001,161.01364703000002,0.3407678008079529,286058,-73.11483001708984
3967,286299,72,8360,34.33,0.001,161.10724002999999,0.18818052113056183,286400,-70.85723876953125
3972,286643,72,8370,34.36,0.001,161.28838646000003,0.19540391862392426,286744,-68.083984375
3977,286985,72,8380,34.33,0.001,161.17595452,0.18325144052505493,287086,-69.38104248046875
3981,287328,72,8390,34.34,0.001,161.18317345999998,0.2681652903556824,287429,-71.22383117675781
3986,287673,72,8400,34.34,0.001,161.13778347,0.22215934097766876,287774,-70.61603546142578
3991,288014,72,8410,34.35,0.001,161.21954223,0.2955484390258789,288115,-73.48613739013672
3995,288357,72,8420,34.32,0.001,161.06038974000003,0.1952056735754013,288458,-74.86245727539062
4000,288699,72,8430,34.31,0.001,161.01446977,0.35751134157180786,288800,-71.60757446289062
4005,289044,72,8440,34.31,0.001,161.06215637000003,0.11456909775733948,289145,-76.14370727539062
