time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/actor_loss,time/episodes,rollout/ep_len_mean,train/critic_loss,time/fps,train/n_updates,train/learning_rate
101740,1483,70.02391852000001,-37.34117889404297,6840,14.81,0.09688783437013626,68,101639,0.001
101889,1485,70.03587576,-35.67596435546875,6850,14.81,0.09176979959011078,68,101788,0.001
102038,1487,70.03208355999999,-36.88055419921875,6860,14.81,0.2807631492614746,68,101937,0.001
102184,1490,69.9313929,-37.155181884765625,6870,14.79,0.19307345151901245,68,102083,0.001
102332,1492,69.93403406,-35.548683166503906,6880,14.79,0.36321312189102173,68,102231,0.001
102482,1494,70.02103238000001,-34.00920104980469,6890,14.81,0.24202704429626465,68,102381,0.001
102631,1496,70.01450454,-35.31451416015625,6900,14.81,0.08008068054914474,68,102530,0.001
102780,1498,70.10207231999999,-34.19268035888672,6910,14.83,0.4541859030723572,68,102679,0.001
102927,1501,70.16103089,-35.71007537841797,6920,14.84,0.09474161267280579,68,102826,0.001
103076,1503,70.21631008,-37.099021911621094,6930,14.85,0.2982524037361145,68,102975,0.001
103224,1505,70.17393062000001,-32.918643951416016,6940,14.84,0.2318471521139145,68,103123,0.001
103373,1507,70.16272513000001,-35.92457580566406,6950,14.84,0.12152986228466034,68,103272,0.001
103523,1509,70.21321440999999,-35.933780670166016,6960,14.85,0.09708777070045471,68,103422,0.001
103672,1512,70.35660521000001,-37.102420806884766,6970,14.88,0.3344675898551941,68,103571,0.001
103821,1514,70.40575218,-35.744300842285156,6980,14.89,0.09794981777667999,68,103720,0.001
103971,1516,70.41448511,-35.340728759765625,6990,14.89,0.03590429574251175,68,103870,0.001
104120,1518,70.41195297,-36.14533996582031,7000,14.89,0.15189583599567413,68,104019,0.001
104269,1520,70.41151384999999,-34.08930587768555,7010,14.89,0.10744082182645798,68,104168,0.001
104417,1522,70.45798126,-35.792903900146484,7020,14.9,0.10595927387475967,68,104316,0.001
104567,1525,70.49931129999999,-35.71201705932617,7030,14.91,0.1602371484041214,68,104466,0.001
104717,1527,70.59432468,-36.42176818847656,7040,14.93,0.08762209117412567,68,104616,0.001
104866,1529,70.60299090000001,-36.74394607543945,7050,14.93,0.33769601583480835,68,104765,0.001
105013,1531,70.45975387,-34.8807487487793,7060,14.9,0.16015374660491943,68,104912,0.001
105162,1533,70.45033995,-35.36023712158203,7070,14.9,0.08414731174707413,68,105061,0.001
105312,1535,70.49729644999998,-35.06132888793945,7080,14.91,0.24402254819869995,68,105211,0.001
105462,1538,70.4962934,-35.59613800048828,7090,14.91,0.09292425960302353,68,105361,0.001
105610,1540,70.45190045999999,-36.77550506591797,7100,14.9,0.1043529137969017,68,105509,0.001
105759,1542,70.46420049,-35.70258712768555,7110,14.9,0.10156454145908356,68,105658,0.001
105908,1544,70.50098537999999,-35.459678649902344,7120,14.91,0.14232578873634338,68,105807,0.001
106054,1546,70.31631161,-37.47488021850586,7130,14.87,0.15600734949111938,68,105953,0.001
106202,1549,70.21652845,-38.18017578125,7140,14.85,0.2351425737142563,68,106101,0.001
106352,1551,70.25507486000001,-34.51934051513672,7150,14.86,0.16524763405323029,68,106251,0.001
106500,1553,70.30329022000001,-37.26418685913086,7160,14.87,0.08773817867040634,68,106399,0.001
106648,1555,70.26785152,-35.021820068359375,7170,14.86,0.3819870352745056,68,106547,0.001
106798,1557,70.27056578,-36.303218841552734,7180,14.86,0.1579805314540863,68,106697,0.001
106947,1559,70.21697667,-34.52765655517578,7190,14.85,0.21885372698307037,68,106846,0.001
107096,1562,70.26761830000001,-35.03031921386719,7200,14.86,0.14988408982753754,68,106995,0.001
107245,1564,70.25613469,-37.1898193359375,7210,14.86,0.1593663990497589,68,107144,0.001
